generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.164306994996078e-05,1.5279804022550833e-05,1.3041600593295214e-05,5.876078578446574e-07
1,343,1.164306994996078e-05,1.5279804022550833e-05,1.3063658288814239e-05,6.109861095294887e-07
2,332,1.164306994996078e-05,1.5279804022550833e-05,1.3052802272625615e-05,5.93816995987102e-07
3,311,1.1881158827680193e-05,1.5279804022550833e-05,1.3040121856090641e-05,5.546643458596895e-07
4,341,1.1881158827680193e-05,1.5279804022550833e-05,1.3072044685904565e-05,5.79153563437527e-07
5,343,1.1881158827680193e-05,1.5279804022550833e-05,1.3125911622293784e-05,6.242584305814949e-07
6,339,1.1881158827680193e-05,1.5279804022550833e-05,1.316672990138241e-05,6.248823919412208e-07
7,345,1.1881158827680193e-05,1.5279804022550833e-05,1.3149577363175018e-05,5.95925140556701e-07
8,361,1.1881158827680193e-05,1.5279804022550833e-05,1.3157105072945856e-05,6.540657531041668e-07
9,337,1.1881158827680193e-05,1.5279804022550833e-05,1.3179540704815894e-05,6.38345727521984e-07
10,350,1.1881158827680193e-05,1.5279804022550833e-05,1.3244705158782524e-05,6.889110713244262e-07
11,342,1.1881158827680193e-05,1.5279804022550833e-05,1.3272117448864781e-05,6.858894847293466e-07
12,357,1.1881158827680193e-05,1.5279804022550833e-05,1.3318508189193294e-05,6.58367786719497e-07
13,357,1.1881158827680193e-05,1.5279804022550833e-05,1.3325930614591153e-05,7.060268629711975e-07
14,341,1.1881158827680193e-05,1.5279804022550833e-05,1.3369721692372616e-05,7.20614845915111e-07
15,342,1.1881158827680193e-05,1.5279804022550833e-05,1.3394505730824607e-05,7.619134395024001e-07
16,352,1.1881158827680193e-05,1.5279804022550833e-05,1.3435935903288985e-05,7.794104946231655e-07
17,318,1.1881158827680193e-05,1.5279804022550833e-05,1.3393683226341534e-05,7.68614462683089e-07
18,340,1.1881158827680193e-05,1.5279804022550833e-05,1.3459367081015086e-05,7.78886627031478e-07
19,329,1.1881158827680193e-05,1.5392375819958325e-05,1.3482752520857847e-05,7.983901916619095e-07
20,349,1.1881158827680193e-05,1.5392375819958325e-05,1.3492691084690505e-05,8.044381692221896e-07
21,330,1.1951617466625168e-05,1.5392375819958325e-05,1.3531389550658523e-05,8.022771617662275e-07
22,318,1.2190716240451953e-05,1.5392375819958325e-05,1.3575278856647517e-05,8.376855835983945e-07
23,355,1.2190716240451953e-05,1.5392375819958325e-05,1.36101842227133e-05,8.360971548111202e-07
24,335,1.2190716240451953e-05,1.5392375819958325e-05,1.363234429524123e-05,8.188447660256419e-07
25,350,1.2190716240451953e-05,1.5392375819958325e-05,1.3616342729463977e-05,8.298642251652209e-07
26,354,1.2190716240451953e-05,1.5392375819958325e-05,1.363791922566751e-05,8.431950023750507e-07
27,344,1.2190716240451953e-05,1.5392375819958325e-05,1.3677410314875487e-05,8.717415801411298e-07
28,332,1.2190716240451953e-05,1.5392375819958325e-05,1.3753175957982014e-05,8.858933651234007e-07
29,341,1.2190716240451953e-05,1.5392375819958325e-05,1.3791335503074486e-05,8.561859896002567e-07
30,330,1.2190716240451953e-05,1.5392375819958325e-05,1.3873948123490733e-05,8.751463998182513e-07
31,336,1.2190716240451953e-05,1.5392375819958325e-05,1.3889999031469933e-05,9.111255304972505e-07
32,346,1.2190716240451953e-05,1.5392375819958325e-05,1.3826252287634082e-05,9.070144645888721e-07
33,323,1.2190716240451953e-05,1.5392375819958325e-05,1.3880656735777398e-05,9.1251741993426e-07
34,349,1.2065119365009092e-05,1.5392375819958325e-05,1.3897015412500004e-05,8.735108064613143e-07
35,329,1.2065119365009092e-05,1.5392375819958325e-05,1.3919235092006963e-05,8.623798106519212e-07
36,344,1.2242994522363577e-05,1.5392375819958325e-05,1.4011601105385236e-05,8.646265596558901e-07
37,331,1.2242994522363577e-05,1.5392375819958325e-05,1.4060943548641716e-05,8.963000577508846e-07
38,345,1.2242994522363577e-05,1.5392375819958325e-05,1.4215763780520792e-05,8.90376814346476e-07
39,344,1.2242994522363577e-05,1.543385674167236e-05,1.4285385683353604e-05,8.73891531058989e-07
40,352,1.2242994522363577e-05,1.5392375819958325e-05,1.433082637846708e-05,8.38315969547067e-07
41,344,1.2242994522363577e-05,1.5392375819958325e-05,1.442438377530521e-05,7.759735625524413e-07
42,333,1.2242994522363577e-05,1.5392375819958325e-05,1.4460920413428113e-05,7.7432618205518e-07
43,352,1.2495315534721996e-05,1.5392375819958325e-05,1.4489883575479297e-05,7.390912492666552e-07
44,336,1.2495315534721996e-05,1.5576361133019567e-05,1.4533536166864485e-05,7.11021702041668e-07
45,337,1.2495315534721996e-05,1.5392375819958325e-05,1.4516565183834874e-05,7.248443748310113e-07
46,336,1.2495315534721996e-05,1.5425362497949324e-05,1.4516207026594931e-05,7.30264078763918e-07
47,365,1.2495315534721996e-05,1.5392375819958325e-05,1.4492205274550072e-05,7.416667450447876e-07
48,325,1.2495315534721996e-05,1.5392375819958325e-05,1.4518514575150696e-05,7.492632564959724e-07
49,330,1.2495315534721996e-05,1.5392375819958325e-05,1.4510188859189863e-05,7.830846845128048e-07
50,347,1.2275686557727145e-05,1.5392375819958325e-05,1.4580291753231669e-05,7.365285007650583e-07
51,339,1.2495315534721996e-05,1.5392375819958325e-05,1.4609951559492018e-05,7.029481215739061e-07
52,339,1.2495315534721996e-05,1.5392375819958325e-05,1.4577212572408765e-05,7.260340992401316e-07
53,347,1.2495315534721996e-05,1.5392375819958325e-05,1.4556887375208208e-05,7.287131809891007e-07
54,340,1.2071134918820162e-05,1.5392375819958325e-05,1.4561829428783544e-05,7.078931099884333e-07
55,352,1.2495315534721996e-05,1.5392375819958325e-05,1.4595089926937289e-05,6.973269761263612e-07
56,337,1.2495315534721996e-05,1.5392375819958325e-05,1.4624070008646576e-05,7.041507122237613e-07
57,336,1.2495315534721996e-05,1.585070658398108e-05,1.464457337242184e-05,7.138395168851137e-07
58,350,1.2540484344804911e-05,1.585070658398108e-05,1.4698024903412823e-05,6.800290273234917e-07
59,325,1.2923020670628129e-05,1.585070658398108e-05,1.4707115899055323e-05,6.423891062522174e-07
60,359,1.2610648843545395e-05,1.585070658398108e-05,1.478471921685731e-05,6.099363720677306e-07
61,347,1.3044977219462513e-05,1.585070658398108e-05,1.4817711528680665e-05,6.025920838701405e-07
62,335,1.297382387275423e-05,1.585070658398108e-05,1.4804344023702039e-05,6.150915284811153e-07
63,346,1.2662307861227605e-05,1.585070658398108e-05,1.4818732517092757e-05,6.03376251626177e-07
64,348,1.23694317741673e-05,1.585070658398108e-05,1.4819287635096485e-05,6.018498249321295e-07
65,340,1.23694317741673e-05,1.585070658398108e-05,1.4824850547018484e-05,5.909180571150548e-07
66,338,1.23694317741673e-05,1.585070658398108e-05,1.478865603323122e-05,5.698413257151137e-07
67,344,1.23694317741673e-05,1.585070658398108e-05,1.4750837657261913e-05,6.120207433843159e-07
68,335,1.23694317741673e-05,1.585070658398108e-05,1.4799255050466017e-05,5.950198610953377e-07
69,326,1.2617693875570551e-05,1.585070658398108e-05,1.4834644974723778e-05,5.382053718789052e-07
70,327,1.2607291360542785e-05,1.585070658398108e-05,1.4777606999158027e-05,5.663419560466505e-07
71,342,1.2607291360542785e-05,1.585070658398108e-05,1.4723347556853375e-05,6.264473287716667e-07
72,356,1.2607291360542785e-05,1.585070658398108e-05,1.4717319852683164e-05,6.145857114525945e-07
73,328,1.2607291360542785e-05,1.585070658398108e-05,1.4750777446208081e-05,6.187820665868392e-07
74,316,1.2607291360542785e-05,1.585070658398108e-05,1.4735751786819313e-05,6.466562866562104e-07
75,331,1.2607291360542785e-05,1.585070658398108e-05,1.4765073297186092e-05,6.138165998159746e-07
76,348,1.2617693875570551e-05,1.585070658398108e-05,1.481671153622723e-05,5.788148433917338e-07
77,340,1.2343594425357552e-05,1.585070658398108e-05,1.4810404434098958e-05,5.713626840715484e-07
78,343,1.2778129750163664e-05,1.585070658398108e-05,1.4847782859546805e-05,5.606336343112533e-07
79,345,1.2559623885658379e-05,1.5586116019930225e-05,1.4861291079061034e-05,5.635815981418894e-07
80,353,1.2778129750163664e-05,1.5586116019930225e-05,1.4912230233241111e-05,5.098158072841342e-07
81,336,1.274945541435239e-05,1.5586116019930225e-05,1.4911525025536505e-05,5.220098939823568e-07
82,329,1.274945541435239e-05,1.5586116019930225e-05,1.4940948069881855e-05,5.076557900521938e-07
83,345,1.2414512318609697e-05,1.5586116019930225e-05,1.4925163231696655e-05,5.545633167269785e-07
84,341,1.2414512318609697e-05,1.5586116019930225e-05,1.4916946100481039e-05,5.7768228384901e-07
85,345,1.2414512318609697e-05,1.5586116019930225e-05,1.4934271148917556e-05,6.179683940325024e-07
86,343,1.2414512318609697e-05,1.5586116019930225e-05,1.4888148226521483e-05,6.422350077316296e-07
87,366,1.2414512318609697e-05,1.5586116019930225e-05,1.4914937684814684e-05,6.141058032370589e-07
88,345,1.2414512318609697e-05,1.5586116019930225e-05,1.4924097413199226e-05,6.160476036716231e-07
89,366,1.2414512318609697e-05,1.5586116019930225e-05,1.4956131536539746e-05,5.663739232939128e-07
90,346,1.2414512318609697e-05,1.5586116019930225e-05,1.497212529779048e-05,5.645826682607501e-07
91,360,1.2414512318609697e-05,1.5586116019930225e-05,1.4985421087225611e-05,5.308232369438639e-07
92,351,1.2414512318609697e-05,1.5586116019930225e-05,1.4998625605100994e-05,5.416380767568296e-07
93,339,1.2414512318609697e-05,1.5586116019930225e-05,1.4966219943874823e-05,5.92852486086115e-07
94,342,1.2414512318609697e-05,1.5586116019930225e-05,1.5024170978753876e-05,5.404334015217404e-07
95,332,1.2414512318609697e-05,1.5586116019930225e-05,1.5058721546074217e-05,5.002763146185732e-07
96,335,1.2414512318609697e-05,1.5692851902556654e-05,1.5084786648260762e-05,4.919322302401294e-07
97,339,1.2414512318609697e-05,1.5692851902556654e-05,1.5127816097780718e-05,4.3512067175723474e-07
98,347,1.264280390858978e-05,1.5586116019930225e-05,1.5139027909637345e-05,4.126713385761139e-07
99,346,1.264280390858978e-05,1.5586116019930225e-05,1.5140221554474891e-05,4.3099144416022964e-07
100,338,1.264280390858978e-05,1.5586116019930225e-05,1.5121462112985618e-05,4.802359809053523e-07
101,332,1.23845557201206e-05,1.5586116019930225e-05,1.5125940415868255e-05,4.3918264942204303e-07
102,341,1.3085001535166751e-05,1.5586116019930225e-05,1.5154206487600025e-05,3.945999446325665e-07
103,335,1.3085001535166751e-05,1.5586116019930225e-05,1.5141163073991103e-05,4.076873977039862e-07
104,331,1.3085001535166751e-05,1.5586116019930225e-05,1.5131872755863359e-05,4.486260510506588e-07
105,345,1.3085001535166751e-05,1.5586116019930225e-05,1.5159570870753342e-05,4.10270654061419e-07
106,342,1.329064675015528e-05,1.5586116019930225e-05,1.5170333169471182e-05,3.8501890862127304e-07
107,339,1.3405095851988433e-05,1.5586116019930225e-05,1.5191939832991698e-05,3.2082710497837877e-07
108,345,1.3405095851988433e-05,1.5586116019930225e-05,1.5179042220851084e-05,3.274918058647988e-07
109,350,1.3093105984349724e-05,1.5586116019930225e-05,1.5170290737590555e-05,3.619912072347737e-07
110,360,1.3047846535969594e-05,1.5586116019930225e-05,1.5145795990584657e-05,4.4155529893494087e-07
111,330,1.3047846535969594e-05,1.5586116019930225e-05,1.51410345597871e-05,4.65950605631845e-07
112,353,1.2691751887024973e-05,1.5586116019930225e-05,1.51437008498802e-05,4.741756303332197e-07
113,323,1.2691751887024973e-05,1.5586116019930225e-05,1.5129435519263638e-05,5.194514279029898e-07
114,342,1.2691751887024973e-05,1.5610821444433797e-05,1.5077766021844253e-05,5.833397313188303e-07
115,339,1.2691751887024973e-05,1.5586116019930225e-05,1.5121789838708273e-05,5.160773421523853e-07
116,350,1.2691751887024973e-05,1.5586116019930225e-05,1.514229055271913e-05,4.947644791612171e-07
117,332,1.2958609549632694e-05,1.5586116019930225e-05,1.5105431333956456e-05,5.075062519059965e-07
118,343,1.318707518480024e-05,1.5586116019930225e-05,1.5138430427494409e-05,4.934209167879367e-07
119,339,1.2956240921884552e-05,1.5586116019930225e-05,1.5146340600099755e-05,4.86499717664719e-07
120,355,1.2956240921884552e-05,1.5620041118599803e-05,1.5124901155992355e-05,5.229804084482337e-07
121,344,1.318707518480024e-05,1.5586116019930225e-05,1.5141339818678215e-05,4.952927980433356e-07
122,350,1.2892949885112749e-05,1.5586116019930225e-05,1.5155896833004956e-05,4.6984930480170997e-07
123,336,1.318707518480024e-05,1.5586116019930225e-05,1.5207233455643286e-05,3.851881842357568e-07
124,353,1.2799863122112701e-05,1.5586116019930225e-05,1.5198223898829236e-05,4.0288354488700243e-07
