generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,avg_cost
0,10,0.0004335230907975144,0.0005250219011536855,0.00046427955295336225,3.1964242337326625e-05,2153.8747369743674
1,10,0.000418868520169184,0.0005146773213027588,0.00046989307765291555,2.6972511491800722e-05,2128.143715150972
2,8,0.00045492668577522255,0.0004937108021795733,0.00046724895173961634,1.1489364364263055e-05,2140.1867169030475
3,10,0.00040784662648768195,0.000510866767916972,0.00045211874952207586,2.6135635541952097e-05,2211.8082938543835
4,4,0.000429287911468411,0.000510866767916972,0.0004735621324236243,2.8998958419428767e-05,2111.655327849254
5,8,0.00041754045895801985,0.0005285494180900015,0.0004708580151232054,3.2725910174663396e-05,2123.7824734455003
6,10,0.00041621762849871274,0.0005426774923714409,0.000487613062678463,3.521793174093179e-05,2050.806421195919
7,10,0.0004504073518292159,0.0005246938451292325,0.0004845745370752697,2.0407806468411423e-05,2063.6660069587365
8,10,0.00045060554596845136,0.0004980354556640261,0.0004709807432499009,1.4643298882741858e-05,2123.2290583681106
9,10,0.00040981035617826796,0.0005185778216127825,0.0004687986662258349,3.436472622253841e-05,2133.1118709247116
10,10,0.00042232827388265416,0.0005070026370166071,0.0004584496398263098,2.3392862180268944e-05,2181.264664923424
11,10,0.00042232827388265416,0.00048643657425632335,0.0004557466224833359,1.9863415925769902e-05,2194.201669671319
12,10,0.0004359684330031096,0.0005129669202326659,0.00046499982048988015,2.4730145768641778e-05,2150.5384646095
13,10,0.0004425193479594978,0.0005579869795086233,0.00048321431173594846,3.3565639560766714e-05,2069.4751287632557
14,10,0.00039623596274858223,0.0004958418279449975,0.0004595118051905752,2.6392716119644433e-05,2176.2226534860533
15,8,0.0004292390508296303,0.00048809224444061383,0.0004511104730360085,1.9433428417271878e-05,2216.7519039625095
16,6,0.0004321166810884208,0.00048809224444061383,0.0004508218039914572,1.6249690585249704e-05,2218.1713287739503
17,10,0.0004254457581857306,0.0005195900468750816,0.0004785788946965664,2.8769283212471387e-05,2089.519640505732
18,10,0.0004500371480689099,0.0005538603139117338,0.0004898410687736174,3.183554171183391e-05,2041.4784789352875
19,10,0.0004309330689066702,0.000517418214916304,0.0004823000811919521,2.2017480098312196e-05,2073.397950770833
20,8,0.0004309330689066702,0.0005370044667602686,0.00047322562187506763,3.124294905432112e-05,2113.1569250998878
21,10,0.00044314507093035267,0.000533686252828031,0.0004887796041076495,2.8632102515407902e-05,2045.911882566521
22,10,0.00044182395353043456,0.0005465521049872281,0.0004741765350325223,3.059637703203518e-05,2108.9192022785633
23,10,0.0004527474746452345,0.0005263430443372457,0.0004834055855288284,2.479319932676295e-05,2068.6562793974254
24,10,0.0004657108492504628,0.0005263430443372457,0.0004948733596296237,1.9822938115859786e-05,2020.718999196939
25,10,0.000444412255272411,0.0005001507260809457,0.00047099600277984406,1.633156682627674e-05,2123.1602690849722
26,10,0.0004626093490403787,0.0005063027542665314,0.0004801982020742212,1.3975807161614559e-05,2082.4734363445955
27,10,0.000462945987406693,0.0005377110662429666,0.0004845477892913504,2.2867013352671335e-05,2063.779924499288
28,10,0.0004554161372907498,0.0005045349654841532,0.00047666761967971483,1.283119311990403e-05,2097.897903515925
29,10,0.0004554161372907498,0.0005224630298935293,0.00048239629040569467,1.8072314399568895e-05,2072.9844318641035
30,10,0.00045847594197652257,0.0005301372131638691,0.0004855884237358968,2.2497711379163443e-05,2059.3571656969375
31,10,0.00046349093719001537,0.0005301372131638691,0.0005013458299246455,2.54177325610536e-05,1994.631131469278
32,10,0.00046349093719001537,0.0005431860525102031,0.0005071869570965114,2.5530318989025208e-05,1971.6595350256857
33,10,0.0004537448615823609,0.0005530907684757446,0.000484721774536709,2.8480158799217206e-05,2063.039154689899
34,10,0.00044068882318734983,0.0005292529970780933,0.0004894405798209772,2.2006935525315848e-05,2043.1489362115626
35,8,0.0004349018558455736,0.0005583604469720829,0.0004939931166087284,3.249667560571523e-05,2024.3197048270995
36,8,0.00046100397517783267,0.0005583604469720829,0.0004888049537292988,2.8313159257124322e-05,2045.805780752791
37,6,0.00046100397517783267,0.0005583604469720829,0.0004879496835185327,2.900247103648418e-05,2049.3916356070745
38,10,0.00044880947405166006,0.0005583604469720829,0.0004887270800233446,3.6726119366067934e-05,2046.1317591655322
39,10,0.00044880947405166006,0.0005506189910502902,0.0004967550352079472,3.2440055270570457e-05,2013.0646478125557
40,10,0.00044880947405166006,0.0005506189910502902,0.000488861276055936,2.8485975861714484e-05,2045.5700808782797
41,10,0.00044822222615671154,0.0005506189910502902,0.0005004681066233794,3.367315370985469e-05,1998.1293248573313
42,10,0.0004603844038128546,0.0005506189910502902,0.0005080523564926782,3.295104019670559e-05,1968.3010761006312
43,10,0.0004899209953842596,0.0005506189910502902,0.0005271266606549673,2.4968312504897403e-05,1897.0772579733994
44,10,0.0004961059197353548,0.0005506189910502902,0.0005331964602215703,2.2435172575229617e-05,1875.481318057605
45,8,0.0004961059197353548,0.0005506189910502902,0.0005277451530900767,2.4100551453164304e-05,1894.853972878303
46,10,0.0004961059197353548,0.0005506189910502902,0.0005386477673530639,1.9141678550487763e-05,1856.5007795614545
47,10,0.0004961059197353548,0.0005506189910502902,0.0005321278507873309,1.9502265161655925e-05,1879.2476253975626
48,6,0.0005180194082216258,0.0005506189910502902,0.0005408391162016908,1.4939005593634797e-05,1848.9786889361715
49,10,0.0005180194082216258,0.0005506189910502902,0.0005375791579188244,1.5970468751564777e-05,1860.19116490934
