generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,131.61987322593382,145.09890624229183,139.04179710076073,5.385647260764816
1,4,129.70082670850093,143.22914511363712,135.09724359047073,5.955238183697924
2,4,135.9994757903351,151.06719132530998,142.62894503891317,5.245288384371115
3,2,135.9994757903351,147.50683027091955,141.84881659890897,4.196584652510668
4,4,139.11216215103175,145.5547810165795,142.86252156372544,2.1075647334786076
5,4,137.35300593628955,143.82138405167942,142.3370218610977,2.5167980564792125
6,4,136.14746292468024,149.2698933402283,141.58744754347714,4.641518022232406
7,2,134.17871910204775,136.57082266978026,135.83838610917374,0.845877452530733
8,4,136.14746292468024,140.33995027836892,137.11515943952764,1.6316909824831594
9,2,135.41657943737022,141.07083376567894,136.98596039541798,2.061959314237564
