generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
215,332,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
216,360,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
217,356,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
218,341,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
219,338,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
220,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
221,348,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
222,349,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
223,344,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
224,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
225,344,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
226,350,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
227,335,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
228,324,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
229,342,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
230,346,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
231,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
232,339,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
233,360,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
234,342,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
235,336,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
236,347,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
237,327,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
238,335,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
239,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
240,337,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
241,338,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
242,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
243,329,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
244,324,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
245,336,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
246,352,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
247,356,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
248,356,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
249,337,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
250,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
251,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
252,332,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
253,336,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
254,341,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
255,357,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
256,335,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
257,330,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
258,351,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
259,324,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
260,362,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
261,332,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
262,349,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
263,333,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
264,347,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
265,357,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
266,350,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
267,345,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
268,320,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
269,332,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
270,355,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
271,349,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
272,335,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
273,344,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
274,348,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
275,328,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
276,337,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
277,341,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
